ds,statefips,y,yhat,yhat_upper,yhat_lower
2020-12-12,28,0.124,0.16113293,0.2379027,0.08029037
2020-12-13,28,0.106,0.16276973,0.2449799,0.094462395
2020-12-14,28,0.0948,0.161693,0.23194052,0.07950391
2020-12-15,28,0.114,0.16303729,0.2329596,0.08323744
2020-12-16,28,0.174,0.16270816,0.23997504,0.08358394
2020-12-17,28,0.171,0.16399592,0.23533222,0.08826256
2020-12-18,28,0.155,0.16401981,0.24224028,0.08350562
2020-12-19,28,0.143,0.16549782,0.25064737,0.091880724
2020-12-20,28,0.116,0.16713463,0.24460709,0.09175518
2020-12-21,28,0.127,0.1660579,0.25203183,0.084841914
2020-12-22,28,0.155,0.16740218,0.23654348,0.088065706
2020-12-23,28,0.103,0.16707307,0.244078,0.09282148
2020-12-24,28,0.156,0.16836081,0.25166208,0.09252821
2020-12-25,28,0.161,0.1683847,0.24912107,0.09136242
2020-12-26,28,0.153,0.16986272,0.2527703,0.08741932
2020-12-27,28,0.193,0.17149952,0.24793038,0.09178526
2020-12-28,28,0.203,0.17042279,0.24722978,0.09120447
2020-12-29,28,0.166,0.17176707,0.24631493,0.09048406
2020-12-30,28,0.119,0.17143796,0.24943912,0.089482896
2020-12-31,28,0.153,0.1727257,0.25175,0.09338198
2021-01-01,28,0.156,0.1727496,0.25218806,0.10039686
2021-01-02,28,0.125,0.17422761,0.2462642,0.09128557
2021-01-03,28,0.132,0.17586441,0.25262243,0.09842713
2021-01-04,28,0.0995,0.17478769,0.25682217,0.10091506
2021-01-05,28,0.0616,0.17613196,0.25138915,0.097275734
2021-01-06,28,0.0796,0.17580286,0.25541702,0.09588476
2021-01-07,28,0.0798,0.1770906,0.25355873,0.095914595
2021-01-08,28,0.132,0.1771145,0.2521321,0.09999617
2021-01-09,28,0.195,0.1785925,0.25881955,0.103241354
2021-01-10,28,0.251,0.1802293,0.25852275,0.09777706
2021-01-11,28,0.279,0.17915258,0.25927988,0.10554219
2021-01-12,28,0.325,0.18049686,0.2567986,0.102520674
2021-01-13,28,0.362,0.18013641,0.25444558,0.097722515
2021-01-14,28,0.418,0.1813928,0.2565174,0.10469664
2021-01-15,28,0.351,0.18138537,0.26104492,0.10081867
2021-01-16,28,0.259,0.18283203,0.26503593,0.103295825
2021-01-17,28,0.248,0.1844375,0.26529506,0.10838947
2021-01-18,28,0.204,0.18332943,0.26662156,0.10691684
2021-01-19,28,0.162,0.18464237,0.25799045,0.10560368
2021-01-20,28,0.136,0.18428192,0.26257962,0.11066079
2021-01-21,28,0.121,0.18553832,0.26492003,0.10988634
2021-01-22,28,0.141,0.18553087,0.265329,0.111070946
2021-01-23,28,0.224,0.18697755,0.2659996,0.102721795
2021-01-24,28,0.206,0.188583,0.26856706,0.11873116
2021-01-25,28,0.212,0.18747494,0.26770735,0.10652513
2021-01-26,28,0.205,0.18878788,0.26756418,0.10513314
2021-01-27,28,0.188,0.18842742,0.26525584,0.10485755
2021-01-28,28,0.169,0.18968382,0.26514226,0.11119274
2021-01-29,28,0.178,0.18967637,0.26811153,0.10827103
2021-01-30,28,0.166,0.19112305,0.26354045,0.11204274
2021-01-31,28,0.157,0.1927285,0.26634032,0.11299258
2021-02-01,28,0.165,0.19162044,0.27203983,0.11638042
2021-02-02,28,0.153,0.19293338,0.27540782,0.11195684
2021-02-03,28,0.165,0.19257292,0.26871952,0.11435285
2021-02-04,28,0.172,0.19382933,0.26829463,0.12052758
